ALMACEN,SHIPTO,DIA,MES,A¥O,ARTICULO,DISPONIBLE
103-OBREGO,M3033036,26,12,2025,23413,4
103-OBREGO,M3033036,26,12,2025,23510,8
103-OBREGO,M3033036,26,12,2025,23743,4
103-OBREGO,M3033036,26,12,2025,23891,4
103-OBREGO,M3033036,26,12,2025,24178,8
103-OBREGO,M3033036,26,12,2025,24398,1
103-OBREGO,M3033036,26,12,2025,24399,8
103-OBREGO,M3033036,26,12,2025,24400,3
103-OBREGO,M3033036,26,12,2025,24461,4
103-OBREGO,M3033036,26,12,2025,24663,4
103-OBREGO,M3033036,26,12,2025,24864,10
103-OBREGO,M3033036,26,12,2025,24975,4
103-OBREGO,M3033036,26,12,2025,25595,8
103-OBREGO,M3033036,26,12,2025,25894,8
103-OBREGO,M3033036,26,12,2025,25935,16
103-OBREGO,M3033036,26,12,2025,26044,6
103-OBREGO,M3033036,26,12,2025,26134,4
103-OBREGO,M3033036,26,12,2025,26141,4
103-OBREGO,M3033036,26,12,2025,26161,4
103-OBREGO,M3033036,26,12,2025,26270,8
103-OBREGO,M3033036,26,12,2025,26387,4
103-OBREGO,M3033036,26,12,2025,26429,5
103-OBREGO,M3033036,26,12,2025,26439,8
103-OBREGO,M3033036,26,12,2025,26446,4
103-OBREGO,M3033036,26,12,2025,26547,8
103-OBREGO,M3033036,26,12,2025,26635,9
103-OBREGO,M3033036,26,12,2025,26678,6
103-OBREGO,M3033036,26,12,2025,26744,2
103-OBREGO,M3033036,26,12,2025,26964,7
103-OBREGO,M3033036,26,12,2025,27091,8
103-OBREGO,M3033036,26,12,2025,27247,12
103-OBREGO,M3033036,26,12,2025,27392,3
103-OBREGO,M3033036,26,12,2025,27665,4
103-OBREGO,M3033036,26,12,2025,27685,14
103-OBREGO,M3033036,26,12,2025,28072,4
103-OBREGO,M3033036,26,12,2025,28083,4
103-OBREGO,M3033036,26,12,2025,28399,4
103-OBREGO,M3033036,26,12,2025,28435,2
103-OBREGO,M3033036,26,12,2025,28555,6
103-OBREGO,M3033036,26,12,2025,28637,3
103-OBREGO,M3033036,26,12,2025,29148,1
103-OBREGO,M3033036,26,12,2025,29223,4
103-OBREGO,M3033036,26,12,2025,29259,2
103-OBREGO,M3033036,26,12,2025,29301,3
103-OBREGO,M3033036,26,12,2025,29473,4
103-OBREGO,M3033036,26,12,2025,29516,8
103-OBREGO,M3033036,26,12,2025,29819,2
103-OBREGO,M3033036,26,12,2025,29893,4
103-OBREGO,M3033036,26,12,2025,29937,4
103-OBREGO,M3033036,26,12,2025,30362,3
103-OBREGO,M3033036,26,12,2025,30417,4
103-OBREGO,M3033036,26,12,2025,30474,8
103-OBREGO,M3033036,26,12,2025,30539,4
103-OBREGO,M3033036,26,12,2025,30588,4
103-OBREGO,M3033036,26,12,2025,30693,2
103-OBREGO,M3033036,26,12,2025,30761,14
103-OBREGO,M3033036,26,12,2025,31053,1
103-OBREGO,M3033036,26,12,2025,31139,8
103-OBREGO,M3033036,26,12,2025,31502,3
103-OBREGO,M3033036,26,12,2025,31514,4
103-OBREGO,M3033036,26,12,2025,31724,2
103-OBREGO,M3033036,26,12,2025,31737,10
103-OBREGO,M3033036,26,12,2025,31895,3
103-OBREGO,M3033036,26,12,2025,31935,12
103-OBREGO,M3033036,26,12,2025,32095,8
103-OBREGO,M3033036,26,12,2025,32417,4
103-OBREGO,M3033036,26,12,2025,32430,2
103-OBREGO,M3033036,26,12,2025,32589,4
103-OBREGO,M3033036,26,12,2025,32767,8
103-OBREGO,M3033036,26,12,2025,33011,2
103-OBREGO,M3033036,26,12,2025,33200,2
103-OBREGO,M3033036,26,12,2025,33386,14
103-OBREGO,M3033036,26,12,2025,33585,2
103-OBREGO,M3033036,26,12,2025,33601,1
103-OBREGO,M3033036,26,12,2025,33611,4
103-OBREGO,M3033036,26,12,2025,33910,3
103-OBREGO,M3033036,26,12,2025,34159,14
103-OBREGO,M3033036,26,12,2025,34335,20
103-OBREGO,M3033036,26,12,2025,34591,14
103-OBREGO,M3033036,26,12,2025,34634,4
103-OBREGO,M3033036,26,12,2025,34695,8
103-OBREGO,M3033036,26,12,2025,34753,7
103-OBREGO,M3033036,26,12,2025,34873,1
103-OBREGO,M3033036,26,12,2025,34941,1
103-OBREGO,M3033036,26,12,2025,35437,6
103-OBREGO,M3033036,26,12,2025,35626,5
103-OBREGO,M3033036,26,12,2025,35649,4
103-OBREGO,M3033036,26,12,2025,35705,4
103-OBREGO,M3033036,26,12,2025,35911,4
103-OBREGO,M3033036,26,12,2025,36038,2
103-OBREGO,M3033036,26,12,2025,36286,1
103-OBREGO,M3033036,26,12,2025,36349,4
103-OBREGO,M3033036,26,12,2025,36394,4
103-OBREGO,M3033036,26,12,2025,36429,8
103-OBREGO,M3033036,26,12,2025,36466,4
103-OBREGO,M3033036,26,12,2025,36614,4
103-OBREGO,M3033036,26,12,2025,36830,4
103-OBREGO,M3033036,26,12,2025,37367,3
103-OBREGO,M3033036,26,12,2025,37571,2
103-OBREGO,M3033036,26,12,2025,37573,6
103-OBREGO,M3033036,26,12,2025,37647,6
103-OBREGO,M3033036,26,12,2025,37881,4
